Author,,Subject,Series,Title,Relation,Creation Date,Modification Date,Edition,Uniform title,Medium Type,Open Access,Language,Availability,Language of cataloging,ISBN,Record number,ISBN (13),ISSN,Collections,Availability (Network),MMS ID,,Orders,Peer Reviewed,Managed by,Requests,MMS ID,underReview,resultFromNetwork
"Book - Electronic;   online resource By Jhariya, Manoj Kumar, (Oakville, ON ; Apple Academic Press, [2020])",,Agroforestry--Climatic factors.   Electronic books. ,,"Agroforestry and climate change : issues and challenges / edited by Manoj Kumar Jhariya, Dhiraj Kumar Yadav, Arnab Banerjee.",,7/16/19 16:51,8/16/19 6:00,First edition.,,,,English,"Availability:Electronic version at ENVIROnetBASE: Full Text  
",English,0-429-61461-6  and others,(CKB)4100000008693457;(MiAaPQ)EBC5813352,9780429614613  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Vacca, John R., (Boca Raton, Florida ; CRC Press, [2020])",,Molecular communication (Telecommunication)   Submillimeter waves.   Wireless communication systems--Equipment and supplies.  and others,,Nanoscale networking and communications handbook / [edited by] John R. Vacca.,,7/16/19 16:51,8/25/19 1:14,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-16304-5  and others,(CKB)4100000008693522;(MiAaPQ)EBC5813370,9780429163043  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Kumar, K. (Boca Raton, Florida ; CRC Press, [2020])",,Manufacturing processes--Data processing.   Assembly-line methods--Data processing.   Electronic books. ,,"Digital manufacturing and assembly systems in industry 4.0 / edited by Kaushik Kumar, Divya Zindani, and J. Paulo J. Davim.",,7/16/19 16:51,8/16/19 6:00,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-46476-2  and others,(CKB)4100000008693791;(MiAaPQ)EBC5813593,9780429464768  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Lal, Rattan (Boca Raton, Florida ; CRC Press, [2020])",,Soil degradation--Africa.   Soil restoration--Africa.   Soils--Africa.  and others,"Advances in soil science (Boca Raton, Fla.)",Soil degradation and restoration in Africa / edited by Rattan Lal and B.A. Stewart.,,7/16/19 16:51,8/25/19 1:14,,,,,English,"Availability:Electronic version at ENVIROnetBASE: Full Text  
",English,1-315-10284-6  and others,(CKB)4100000008700985;(MiAaPQ)EBC5813355,9781315102849  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Kale, Vivek, (Boca Raton, Florida ; CRC Press, [2020])",,Business enterprises--Computer networks.   Computer network architectures--Technological innovations.   Electronic books. ,,Digital transformation of enterprise architecture / Vivek Kale.,,7/16/19 16:51,8/25/19 1:14,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,1-351-02914-2  and others,(CKB)4100000008700990;(MiAaPQ)EBC5813362,9781351029148  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Kasser, Joseph Eli, (Boca Raton, Florida ; CRC Press, [2020])",,Project management.   Electronic books. ,,Systemic and systematic project management / by Joseph Eli Kasser.,,7/16/19 16:51,8/16/19 6:00,,,,,English,"Availability:Electronic version at PROJECTMANAGEMENTnetBASE: Full Text  
",English,0-429-02128-3  and others,(CKB)4100000008700992;(MiAaPQ)EBC5813364,9780429021282  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Kumar, B. V. Senthil, (Boca Raton, Florida ; CRC Press, [2020])",,Discrete mathematics.   Electronic books. ,"Mathematics and its applications : modelling, engineering, and social sciences",Discrete mathematical structures : a succinct foundation / by B.V. Senthil Kumar and Hemen Dutta.,,7/16/19 16:51,8/25/19 1:14,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-05368-1  and others,(CKB)4100000008700994;(MiAaPQ)EBC5813372,9780429053689  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Wang, Lizhe, (Boca Raton, Florida ; CRC Press, [2020])",,Remote sensing--Data processing.   Cloud computing.   Electronic books. ,,"Cloud computing in remote sensing / Lizhe Wang, Jining Yan, Yan Ma.",,7/16/19 16:51,8/25/19 1:16,,,,,English,"Availability:Electronic version at ENVIROnetBASE: Full Text  
Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-94987-1  and others,(CKB)4100000008701551;(MiAaPQ)EBC5824649,9780429949876  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Freed, Sam (Boca Raton, Florida ; CRC Press, [2020])",,Artificial intelligence--Psychological aspects.   Affect (Psychology)--Computer simulation.   Thought and thinking.  and others,,AI and human thought and emotion / Sam Freed.,,7/16/19 16:51,8/16/19 6:01,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-67119-9  and others,(CKB)4100000008701622;(MiAaPQ)EBC5824983,9780429671197  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Arlinghaus, Sandra Lach (Boca Raton, Florida ; CRC Press, [2020])",,Environmental sciences--Remote sensing.   Environmental sciences--Geographic information systems.   Spatial data infrastructures.  and others,,"Spatial thinking in environmental contexts : maps, archives, and timelines / Sandra L. Arlinghaus [and three others] editors.",,7/16/19 16:51,8/16/19 6:01,,,,,English,"Availability:Electronic version at ENVIROnetBASE: Full Text  
",English,1-351-80390-5  and others,(CKB)4100000008702090;(MiAaPQ)EBC5825569,9781351803908  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Ding, Yu , (Boca Raton, Florida ; CRC Press, 2020.)",,Wind power--Data processing.   Electronic books. ,,Data science for wind energy / Yu Ding.,,6/21/19 10:11,7/17/19 12:44,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-49097-6  and others,(CKB)4100000008402304;(MiAaPQ)EBC5784347,9780429490972  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Alter, Benjamin, (Boca Raton, Florida ; CRC Press, [2020])",,Environmental impact analysis.   Environmental impact consultants.   Electronic books. ,,"Environmental consulting fundamentals : investigation, remediation, and brownfields redevelopment / authored by Benjamin Alter.",,7/6/19 13:15,7/19/19 8:01,Second edition.,,,,English,"Availability:Electronic version at ENVIROnetBASE: Full Text  
",English,0-429-46437-1  and others,(CKB)4100000008483037;(MiAaPQ)EBC5789238,9780429464379  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Latino, Mark A., (Boca Raton, Florida ; CRC Press, [2020])",,Quality control--Data processing.   Industrial accidents--Investigation.   Critical incident technique.  and others,,"Root cause analysis : improving performance for bottom-line results / Mark A. Latino, Robert J. Latino, and Kenneth C. Latino.",,7/13/19 18:45,8/6/19 20:25,Fifth edition.,,,,English,"Availability:Electronic version at PROJECTMANAGEMENTnetBASE: Full Text  
",English,0-429-82210-3  and others,(CKB)4100000008522628;(MiAaPQ)EBC5798025,9780429822100  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Sundareswaran, K. (Boca Raton ; CRC Press, Taylor & Francis Group, [2020])",,Fuzzy logic.   Fuzzy systems.   Electronic books. ,CRC focus series.,A learner's guide to fuzzy logic systems / K. Sundareswaran.,,7/13/19 18:45,7/29/19 23:42,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,1-00-003431-3  and others,(CKB)4100000008522641;(MiAaPQ)EBC5798027,9781000034318  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Engelstein, Geoffrey, (Boca Raton, Florida ; CRC Press, [2020])",,Board games--Design and construction.   Electronic books. ,,"Building blocks of tabletop game design : an encyclopedia of mechanisms / Geoffrey Engelstein, Isaac Shalev.",,7/13/19 18:45,8/6/19 20:25,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-77376-5  and others,(CKB)4100000008522642;(MiAaPQ)EBC5798022,9780429773761  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Nourani, Cyrus F., (Oakville, ON, Canada ; Apple Academic Press, [2020])",,Management--Statistical methods.   Business intelligence.   Electronic books. ,,"Computing predictive analytics, business intelligence, and economics : modeling techniques with startups and incubators / edited by Cyrus F. Nourani, PhD.",,7/13/19 18:45,7/29/19 23:42,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-87870-2  and others,(CKB)4100000008522643;(MiAaPQ)EBC5798013,9780429878701  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Saha, Suman, (Boca Raton, Florida ; CRC Press, [2020])",,Data structures (Computer science)   Electronic books. ,,"Advanced data structures : theory and applications / Suman Saha, Shailendra Shukla.",,7/13/19 18:45,8/6/19 20:25,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-94984-7  and others,(CKB)4100000008522644;(MiAaPQ)EBC5802342,9780429949845  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Wiredu, Gamel O., (Boca Raton, Florida ; CRC Press, [2020])",,Global software development.   Electronic books. ,,Global software engineering : virtualization and coordination / Gamel O. Wiredu.,,7/6/19 13:15,7/19/19 8:01,,,,,English,"Availability:Electronic version at PROJECTMANAGEMENTnetBASE: Full Text  
",English,0-429-58976-X  and others,(CKB)4960000000108704;(MiAaPQ)EBC5793700,9780429589768  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Vowels, Susan A. (Boca Raton, Florida ; CRC Press, 2020.)",,Information technology.   Electronic books. ,,"Teaching data analytics : pedagogy and program design / edited by Susan A. Vowels, Katherine Leaming Goldberg.",,7/6/19 13:15,7/29/19 23:41,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,1-351-72144-5  and others,(CKB)4960000000108705;(MiAaPQ)EBC5793701,9781351721448  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Thatcher, Andrew (Boca Raton, Florida ; CRC Press, 2020.)",,Human engineering.   Sustainable engineering.   Sustainable development.  and others,,"Human factors for sustainability : theoretical perspectives and global applications / edited by Andrew Thatcher, Klaus J. Zink, Klaus Fischer.",,7/6/19 13:15,7/19/19 8:01,,,,,English,"Availability:Electronic version at ENVIROnetBASE: Full Text  
",English,1-351-26966-6  and others,(CKB)4960000000108795;(MiAaPQ)EBC5793820,9781351269667  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Physical;   Marshall, P. David, (Hoboken, NJ : Wiley Blackwell, 2020.)",,Group identity.   Self-presentation.   Social media.  and others,,"Persona studies : an introduction / P. David Marshall, Christopher L. Moore, and Kim Barbour.",,7/16/19 7:57,8/5/19 13:40,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; HM753 .M358 2020  (1 copy, 1 available)
",English,9781118935040  and others,99981253681;(OCoLC)1096212839;(OCoLC)on1096212839,9781118935040  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;   Robb, Evan, (THOUSAND OAKS : CORWIN SAGE 2019.)",,"School principals--United States--Handbooks, manuals, etc.   School management and organization--United States--Handbooks, manuals, etc.   Educational leadership--United States--Handbooks, manuals, etc. ",,The ten-minute principal : free up your time to focus on leadership / Evan Robb.,,7/23/19 8:31,8/6/19 11:07,First edition.,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; LB2831.92 .R626 2020  (1 copy, 1 available)
",English,9781544345574  and others,(OCoLC)1090697249;(OCoLC)on1090697249,9781544345574  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Elshaer, Abdallah M., (Oakville, Ontario ; Apple Academic Press, 2020.)",,Tourism--Employees--Supply and demand.   Hospitality industry--Employees--Supply and demand.   Labor turnover.  and others,,"Labor in the tourism and hospitality industry : skills, ethics, issues, and rights / Abdallah M. Elshaer, Asmaa M. Marzouk.",,6/8/19 13:26,7/3/19 22:17,,,,,English,"Availability:Electronic version at PROJECTMANAGEMENTnetBASE: Full Text  
",English,0-429-87759-5  and others,(CKB)4100000008339004;(MiAaPQ)EBC5780624,9780429877599  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Physical;   Wagner, William E. (Thousand Oaks, California : SAGE Publications, Inc., [2020])",,SPSS for Windows.   Social sciences--Statistical methods. ,,"Using IBM SPSS statistics for research methods and social science statistics / William E. Wagner, III, California State University, Channel Islands.",,6/25/19 9:04,7/3/19 13:07,Seventh edition.,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; HA32 .W34 2020  (1 copy, 0 available)
",English,9781506389004  and others,40029191765;(OCoLC)1065544663;(OCoLC)on1065544663,9781506389004  and others,,,,9.93E+15,,2,,,0,9.93E+15,,
"Book - Physical;   Neck, Christopher P., (Thousand Oaks, California : SAGE Publications, Inc., [2020])",,Leadership--Psychological aspects.   Self-perception.   Self-esteem. ,,"Self-leadership : the definitive guide to personal excellence / Christopher P. Neck, Charles C. Manz, Jeffery D. Houghton.",,5/22/19 13:52,5/28/19 10:29,Second edition.,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; BF637.L4 N43 2020  (1 copy, 1 available)
",English,9781544324302  and others,40029056937;(OCoLC)1077575082;(OCoLC)on1077575082,9781544324302  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Aschengrau, Ann, (Burlington, MA : Jones & Bartlett Learning, LLC, [2020])",,Public health--United States.   Electronic books. ,,Essentials of Epidemiology in Public Health / Ann Aschengrau and George R. Seage.,,8/15/18 3:22,4/29/19 20:24,Fourth edition.,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-284-12836-9  and others,(CKB)4100000005601133;(MiAaPQ)EBC5485236,9781284128369  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Journal {Journal - Electronic}  online resource (Hoboken,  New Jersey  : John Wiley & Sons Inc)",,,,Legume science.,,12/22/18 10:03,6/14/19 0:25,,,,,English,"Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1056208640;(CKB)4100000007205249;(CONSER)--2018203784,,2639-6181 ,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Seikel, John A., (San Diego, CA : Plural Publishing Inc., [2020])",,Speech--Physiological aspects.   Hearing--Physiological aspects.   Neuroanatomy  and others,,"Neuroanatomy and neurophysiology for speech and hearing sciences / J. Anthony Seikel, Kostas Konstantopoulos, David G. Drumright.",,2/14/19 22:25,7/8/19 4:53,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",,1-63550-072-9  and others,(CKB)4100000007591256,9781635500721  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Andreatta, Richard D., (San Diego, CA : Plural Publishing Inc., [2020])",,Central nervous system.   Senses and sensation.   Perception. ,,Neuroscience fundamentals for communication sciences and disorders / Richard D. Andreatta.,,2/14/19 22:25,7/8/19 4:53,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",,1-63550-270-5  and others,(CKB)4100000007591252,9781635502701  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Lentz, Jennifer J., (San Diego CA [2020])",,Auditory perception.   Psychoacoustics. ,,Psychoacoustics : perception of normal and impaired hearing with audiology applications / Jennifer J. Lentz.,,2/14/19 22:25,7/8/19 4:53,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",,1-59756-991-7  and others,(CKB)4100000007591250,9781597569910  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Hixon, Thomas J., (San Diego, CA : Plural Publishing Inc., [2020])",,Electronic books. ,,"Preclinical speech science : anatomy, physiology, acoustics, and perception / Thomas J. Hixon [and two others].",,10/13/18 9:43,12/20/18 12:37,Third edition.,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-63550-062-1  and others,(CKB)4100000006669765;(MiAaPQ)EBC5509496,9781635500622  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Hammaker, Donna K., (Burlington, Massachusetts : Jones & Bartlett Learning, [2020])",,Medical records--Law and legislation--United States.   Electronic books. ,,Health records and the law / Donna K. Hammaker.,,10/15/18 22:33,12/20/18 10:07,Fifth edition.,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-284-12900-4  and others,(CKB)4100000006996676;(MiAaPQ)EBC5528821,9781284129007  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
